French,English
partie,part
histoire,history
chercher,search
genre,kind
frère,brother
mettre,to put
eux,them
chaque,each
arrivé,come
devrait,should
bébé,baby
longtemps,long time
heures,hours
vont,will
revoir,meet again
aucune,any
place,square
compris,understood
savais,knew
étaient,were
leurs,their
donné,given
corps,body
yeux,eyes
façon,way
écoute,listen
dont,whose
perdu,lost
main,hand
côté,side
vieux,old
sois,be
tellement,so much
point,point
suite,after
vers,towards
demandé,request
droit,law
aimerais,would like to
aujourd'hui,today
mari,husband
cause,cause
enfin,finally
nouvelle,new
boulot,job
donne,given
fin,end
chérie,sweetheart
plutôt,rather
aura,will have
filles,girls
jouer,to play
bureau,office
